MoveEvent(x=484, y=856, time=1643694471.659295)
MoveEvent(x=483, y=855, time=1643694471.667295)
MoveEvent(x=483, y=855, time=1643694471.667295)
MoveEvent(x=483, y=854, time=1643694471.675305)
MoveEvent(x=482, y=853, time=1643694471.683307)
MoveEvent(x=482, y=853, time=1643694471.683307)
MoveEvent(x=481, y=852, time=1643694471.691295)
MoveEvent(x=481, y=852, time=1643694471.691295)
MoveEvent(x=480, y=851, time=1643694471.699295)
MoveEvent(x=480, y=851, time=1643694471.699295)
MoveEvent(x=479, y=850, time=1643694471.707304)
MoveEvent(x=479, y=850, time=1643694471.707304)
MoveEvent(x=478, y=848, time=1643694471.715307)
MoveEvent(x=478, y=848, time=1643694471.715307)
MoveEvent(x=477, y=846, time=1643694471.723297)
MoveEvent(x=477, y=846, time=1643694471.723297)
MoveEvent(x=475, y=844, time=1643694471.731298)
MoveEvent(x=475, y=844, time=1643694471.731298)
MoveEvent(x=473, y=841, time=1643694471.739296)
MoveEvent(x=473, y=841, time=1643694471.739296)
MoveEvent(x=471, y=832, time=1643694471.747295)
MoveEvent(x=471, y=832, time=1643694471.747295)
MoveEvent(x=468, y=824, time=1643694471.755298)
MoveEvent(x=468, y=824, time=1643694471.755298)
MoveEvent(x=463, y=821, time=1643694471.763294)
MoveEvent(x=463, y=821, time=1643694471.763294)
MoveEvent(x=460, y=816, time=1643694471.771296)
MoveEvent(x=460, y=816, time=1643694471.771296)
MoveEvent(x=458, y=812, time=1643694471.779303)
MoveEvent(x=458, y=812, time=1643694471.779303)
MoveEvent(x=457, y=809, time=1643694471.787304)
MoveEvent(x=457, y=809, time=1643694471.787304)
MoveEvent(x=453, y=794, time=1643694471.795295)
MoveEvent(x=453, y=794, time=1643694471.795295)
MoveEvent(x=447, y=779, time=1643694471.803296)
MoveEvent(x=447, y=779, time=1643694471.803296)
MoveEvent(x=440, y=763, time=1643694471.811305)
MoveEvent(x=440, y=763, time=1643694471.811305)
MoveEvent(x=434, y=737, time=1643694471.819306)
MoveEvent(x=434, y=737, time=1643694471.819306)
MoveEvent(x=422, y=728, time=1643694471.827307)
MoveEvent(x=422, y=728, time=1643694471.827307)
MoveEvent(x=414, y=705, time=1643694471.835299)
MoveEvent(x=414, y=705, time=1643694471.835299)
MoveEvent(x=408, y=685, time=1643694471.843295)
MoveEvent(x=408, y=685, time=1643694471.843295)
MoveEvent(x=404, y=680, time=1643694471.851297)
MoveEvent(x=404, y=680, time=1643694471.851297)
MoveEvent(x=400, y=660, time=1643694471.859305)
MoveEvent(x=400, y=660, time=1643694471.859305)
MoveEvent(x=395, y=653, time=1643694471.867293)
MoveEvent(x=395, y=653, time=1643694471.867293)
MoveEvent(x=394, y=647, time=1643694471.875294)
MoveEvent(x=394, y=647, time=1643694471.875294)
MoveEvent(x=391, y=639, time=1643694471.883294)
MoveEvent(x=391, y=639, time=1643694471.883294)
MoveEvent(x=390, y=634, time=1643694471.891295)
MoveEvent(x=390, y=634, time=1643694471.891295)
MoveEvent(x=388, y=628, time=1643694471.899294)
MoveEvent(x=388, y=628, time=1643694471.899294)
MoveEvent(x=385, y=624, time=1643694471.907299)
MoveEvent(x=385, y=624, time=1643694471.907299)
MoveEvent(x=383, y=622, time=1643694471.915296)
MoveEvent(x=383, y=622, time=1643694471.915296)
MoveEvent(x=381, y=616, time=1643694471.923296)
MoveEvent(x=381, y=616, time=1643694471.923296)
MoveEvent(x=378, y=608, time=1643694471.931304)
MoveEvent(x=378, y=608, time=1643694471.931304)
MoveEvent(x=375, y=598, time=1643694471.939295)
MoveEvent(x=375, y=598, time=1643694471.939295)
MoveEvent(x=372, y=591, time=1643694471.947295)
MoveEvent(x=372, y=591, time=1643694471.947295)
MoveEvent(x=366, y=576, time=1643694471.955294)
MoveEvent(x=366, y=576, time=1643694471.955294)
MoveEvent(x=360, y=557, time=1643694471.963304)
MoveEvent(x=360, y=557, time=1643694471.963304)
MoveEvent(x=356, y=542, time=1643694471.971306)
